date,open,high,low,close,volume
2021-08-18,14975.0195,15039.9004,14846.5098,14857.9199,3841840000
2021-08-19,14773.1904,15000.1904,14773.1904,14933.9404,4191490000
2021-08-20,14974.0596,15103.9404,14968.8701,15092.5703,3886340000
2021-08-23,15140.1396,15341.4697,15140.1396,15312.8203,3906780000
2021-08-24,15338.9199,15384.4199,15319.5498,15357.6797,3809750000
2021-08-25,15384.8301,15404.3604,15341.9199,15368.9199,3654150000
2021-08-26,15348.9805,15369.2803,15265.2305,15278.5195,3630900000
2021-08-27,15305.75,15447.0303,15292.7402,15432.9502,4048610000
2021-08-30,15460.9297,15620.6201,15459.7402,15605.0898,4061760000
2021-08-31,15601.3398,15604.4502,15522.7803,15582.5098,4188020000
2021-09-01,15637.1299,15696.4199,15603.6699,15611.5703,4271690000
2021-09-02,15656.2803,15681.7598,15554.29,15604.25,4050510000
2021-09-03,15578.96,15668.1201,15554.9697,15652.8604,3706990000
2021-09-07,15662.2998,15701.4004,15610.2305,15675.7598,4014250000
2021-09-08,15669.0098,15669.0098,15528.4502,15620.8496,4131560000
2021-09-09,15639.4404,15675.46,15556.7402,15561.0498,4031140000
2021-09-10,15648.0498,15673.5,15433.4297,15440.75,4587150000
2021-09-13,15545.6602,15562.2803,15351.7002,15434.5,4723370000
2021-09-14,15505.7803,15525.9697,15352.0596,15382.9004,4593140000
2021-09-15,15419.9502,15518.9502,15316.4004,15503.5303,4465140000
2021-09-16,15452.6699,15539.1396,15370.8799,15515.9102,3701500000
2021-09-17,15481.4297,15485.21,15291.04,15333.4697,6709540000
2021-09-20,15068.6504,15157.2598,14821.0303,15012.1904,4879490000
2021-09-21,15096.9697,15139.9004,14986.9805,15027.7695,4083010000
2021-09-22,15073.96,15230.3398,15029.9004,15176.5098,4252490000
2021-09-23,15231.2002,15356.9199,15199.4297,15316.5801,4196130000
2021-09-24,15222.9697,15345.54,15209.1602,15329.6797,3992150000
2021-09-27,15205.2305,15240.5801,15106.4502,15204.8203,4650790000
2021-09-28,15001.9805,15040.5703,14758.9805,14770.2998,4989510000
2021-09-29,14835.5098,14914.9199,14727.4102,14752.8896,5294600000
2021-09-30,14830.2998,14888.2197,14684.5498,14689.6201,5950950000
2021-10-01,14731.3799,14830.8398,14555.1201,14791.8701,4710720000
2021-10-04,14713.5996,14727.5996,14384.9297,14472.1201,4557110000
2021-10-05,14533.4297,14763.6396,14520.2305,14674.1504,4176390000
2021-10-06,14529.8896,14775.6396,14499.4805,14766.75,4465910000
2021-10-07,14899.0703,15010.3203,14878.2197,14897.1299,3984180000
2021-10-08,14942.3604,14948.3496,14805.5,14820.75,3571380000
2021-10-11,14765.6904,14907.5703,14709.0498,14713.7305,3539540000
2021-10-12,14772.29,14784.7803,14636.3301,14662.1104,4063830000
2021-10-13,14751.7998,14800.8301,14676.5801,14774.5996,4053580000
2021-10-14,14925.5801,15059.8896,14901.5898,15052.4199,4262400000
2021-10-15,15106.9697,15150.1396,15064.5898,15146.9199,4494440000
2021-10-18,15091.5801,15307.5098,15074.71,15300.8896,4167740000
2021-10-19,15349.4502,15414.9697,15320.6201,15410.7197,4483400000
2021-10-20,15448.0,15457.1104,15333.4297,15388.71,4117050000
